Author,Additional Authors,Title,Year,Publication,Publisher,Media Format,Link,Location,Language,Theme_1,Theme_2,Theme_3,Theme_4,other tags/notes
"Agyeman, Julian",,"Introducing Just Sustainabilities: Policy, Planning and Practice",2013,,Zed Books,Book - Entire,,United States,English,"Sustainability, Environment, and Health",Racial and Social Justice,Development and Gentrification,,
"Agyeman, Julian",,Sharing Cities: A Case for Truly Smart and Sustainable Cities,2015,,MIT Press,Book - Entire,,United States,English,"Sustainability, Environment, and Health",Community Organizing and Citizen Participation,,,
"Agyeman, Julian",Caitlin Matthews and Hannah Sobel,"Food Trucks, Cultural Identity, and Social Justice: From Loncheras to Lobsta Love",2017,,MIT Press,Book - Entire,,United States,English,Racial and Social Justice,"Culture, Placemaking, and Black Geographies",,,
"Agyeman, Julian",Anja Kollmuss,Mind the Gap: Why do people act environmentally and what are the barriers to pro-environmental behavior?”,2002,Environmental Education Research,,Journal Article,,United States,English,"Sustainability, Environment, and Health",,,,
"Agyeman, Julian","Boone, Kofi",Land loss has plagued black America since emancipation – is it time to look again at ‘black commons’ and collective ownership?,2020,,The Conversation,Online Material,https://theconversation.com/land-loss-has-plagued-black-america-since-emancipation-is-it-time-to-look-again-at-black-commons-and-collective-ownership-140514?utm_source=linkedin&utm_medium=bylinelinkedinbutton&fbclid=IwAR0tuFZNp9rz1T1euDBS8jTOg7L4xe-wJgk0jYTrl3qnpj0WiYA5Qhz2QXI,United States,English,Racial and Social Justice,"Politics of Land, Property, and Colonialism",,,
"Agyeman, Julian (ed)","Bullard, Robert D. and Evans, Bob (eds)",Just Sustainabilities: Development in an Unequal World,2003,,MIT Press,Book - Entire,https://mitpress.mit.edu/books/just-sustainabilities,United States,English,"Sustainability, Environment, and Health",Racial and Social Justice,Development and Gentrification,,
"Allen, Danielle",,Talking to Strangers: Anxieties of Citizenship since Brown V. Board of Education,2004,,University of Chicago Press,Book - Entire,,United States,English,"Culture, Placemaking, and Black Geographies",,,,
"Allen, Diane Jones",,"Lost in the Transit Desert: Race, Transit Access, and Suburban Form",2017,,Routledge,Book - Entire,,United States,English,Transportation,Architecture and Urban Design,Urban History,,
"Anderson, Elijah",,"Streetwise: race, class, and change in an urban community",1990,,University of Chicago Press,Book - Entire,,United States,English,"Politics of Land, Property, and Colonialism",Urban History,,,
"Anderson, Elijah",,The White Space,2015,Sociology of Race and Ethnicity,,Journal Article,,United States,English,Segregation and Redlining,,,,
"Anthony, Carl",,"The Earth, the City, and the Hidden Narrative of Race",2017,,New Village Press,Book - Entire,,United States,English,Black Perspectives on Planning Practice and Education,Racial and Social Justice,,,
"Austin, Regina",,"Not Just for the Fun of It': Governmental Restraints on Black Leisure, Social Inequality, and the Privatization of Public Sphere",1998,Southern California Law Review,,Journal Article,,United States,English,Public Space and Parks,Municipal Policy and Governance,,,
"Barton, Craig",,Sites of Memory: Perspectives on Architecture and Race,2001,,Princeton Architectural Press,Book - Entire,,United States,English,Architecture and Urban Design,Urban History,"Culture, Placemaking, and Black Geographies",,
"Battle-Baptiste, Whitney",Britt Russert,W.E.B. DuBois's Data Portraits: Visualizing Black America,2018,,Princeton Architectural Press,Book - Entire,,United States,English,Racial and Social Justice,Urban History,,,
"Bell, Carla Jackson",,Space Unveiled: Invisible Cultures in the Design Studio,2014,,Routledge,Book - Entire,,United States,English,Black Perspectives on Planning Practice and Education,Architecture and Urban Design,Architecture and Urban Design,,
